Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
SR Tendulkar (INDIA),1989-2013,200,329,33,15921.0,248*,53.78,51,68,14,TEST,Batting,Batting
RT Ponting (AUS),1995-2012,168,287,29,13378.0,257,51.85,41,62,17,TEST,Batting,Batting
JH Kallis (ICC/SA),1995-2013,166,280,40,13289.0,224,55.37,45,58,16,TEST,Batting,Batting
R Dravid (ICC/INDIA),1996-2012,164,286,32,13288.0,270,52.31,36,63,8,TEST,Batting,Batting
AN Cook (ENG),2006-2018,161,291,16,12472.0,294,45.35,33,57,9,TEST,Batting,Batting
KC Sangakkara (SL),2000-2015,134,233,17,12400.0,319,57.4,38,52,11,TEST,Batting,Batting
BC Lara (ICC/WI),1990-2006,131,232,6,11953.0,400*,52.88,34,48,17,TEST,Batting,Batting
S Chanderpaul (WI),1994-2015,164,280,49,11867.0,203*,51.37,30,66,15,TEST,Batting,Batting
DPMD Jayawardene (SL),1997-2014,149,252,15,11814.0,374,49.84,34,50,15,TEST,Batting,Batting
AR Border (AUS),1978-1994,156,265,44,11174.0,205,50.56,27,63,11,TEST,Batting,Batting
SR Waugh (AUS),1985-2004,168,260,46,10927.0,200,51.06,32,50,22,TEST,Batting,Batting
SM Gavaskar (INDIA),1971-1987,125,214,16,10122.0,236*,51.12,34,45,12,TEST,Batting,Batting
Younis Khan (PAK),2000-2017,118,213,19,10099.0,313,52.05,34,33,19,TEST,Batting,Batting
HM Amla (SA),2004-2019,124,215,16,9282.0,311*,46.64,28,41,13,TEST,Batting,Batting
GC Smith (ICC/SA),2002-2014,117,205,13,9265.0,277,48.25,27,38,11,TEST,Batting,Batting
GA Gooch (ENG),1975-1995,118,215,6,8900.0,333,42.58,20,46,13,TEST,Batting,Batting
Javed Miandad (PAK),1976-1993,124,189,21,8832.0,280*,52.57,23,43,6,TEST,Batting,Batting
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830.0,329,49.6,25,46,15,TEST,Batting,Batting
VVS Laxman (INDIA),1996-2012,134,225,34,8781.0,281,45.97,17,56,14,TEST,Batting,Batting
AB de Villiers (SA),2004-2018,114,191,18,8765.0,278*,50.66,22,46,8,TEST,Batting,Batting
MJ Clarke (AUS),2004-2015,115,198,22,8643.0,329*,49.1,28,27,9,TEST,Batting,Batting
ML Hayden (AUS),1994-2009,103,184,14,8625.0,380,50.73,30,29,14,TEST,Batting,Batting
V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586.0,319,49.34,23,32,16,TEST,Batting,Batting
IVA Richards (WI),1974-1991,121,182,12,8540.0,291,50.23,24,45,10,TEST,Batting,Batting
AJ Stewart (ENG),1990-2003,133,235,21,8463.0,190,39.54,15,45,14,TEST,Batting,Batting
DI Gower (ENG),1978-1992,117,204,18,8231.0,215,44.25,18,39,7,TEST,Batting,Batting
KP Pietersen (ENG),2005-2014,104,181,8,8181.0,227,47.28,23,35,10,TEST,Batting,Batting
G Boycott (ENG),1964-1982,108,193,23,8114.0,246*,47.72,22,42,10,TEST,Batting,Batting
GS Sobers (WI),1954-1974,93,160,21,8032.0,365*,57.78,26,30,12,TEST,Batting,Batting
ME Waugh (AUS),1991-2002,128,209,17,8029.0,153*,41.81,20,47,19,TEST,Batting,Batting
MA Atherton (ENG),1989-2001,115,212,7,7728.0,185*,37.69,16,46,20,TEST,Batting,Batting
IR Bell (ENG),2004-2015,118,205,24,7727.0,235,42.69,22,46,14,TEST,Batting,Batting
JL Langer (AUS),1993-2007,105,182,12,7696.0,250,45.27,23,30,11,TEST,Batting,Batting
MC Cowdrey (ENG),1954-1975,114,188,15,7624.0,182,44.06,22,38,9,TEST,Batting,Batting
CG Greenidge (WI),1974-1991,108,185,16,7558.0,226,44.72,19,34,11,TEST,Batting,Batting
Mohammad Yousuf (PAK),1998-2010,90,156,12,7530.0,223,52.29,24,33,11,TEST,Batting,Batting
MA Taylor (AUS),1989-1999,104,186,13,7525.0,334*,43.49,19,40,5,TEST,Batting,Batting
CH Lloyd (WI),1966-1985,110,175,14,7515.0,242*,46.67,19,39,4,TEST,Batting,Batting
DL Haynes (WI),1978-1994,116,202,25,7487.0,184,42.29,18,39,10,TEST,Batting,Batting
DC Boon (AUS),1984-1996,107,190,20,7422.0,200,43.65,21,32,16,TEST,Batting,Batting
JE Root (ENG),2012-2019,89,164,12,7359.0,254,48.41,17,45,8,TEST,Batting,Batting
G Kirsten (SA),1993-2004,101,176,15,7289.0,275,45.27,21,34,13,TEST,Batting,Batting
WR Hammond (ENG),1927-1947,85,140,16,7249.0,336*,58.45,22,24,4,TEST,Batting,Batting
CH Gayle (WI),2000-2014,103,182,11,7214.0,333,42.18,15,37,15,TEST,Batting,Batting
SC Ganguly (INDIA),1996-2008,113,188,17,7212.0,239,42.17,16,35,13,TEST,Batting,Batting
V Kohli (INDIA),2011-2019,84,141,10,7202.0,254*,54.97,27,22,10,TEST,Batting,Batting
SP Fleming (NZ),1994-2008,111,189,10,7172.0,274*,40.06,9,46,16,TEST,Batting,Batting
SPD Smith (AUS),2010-2019,72,130,16,7164.0,239,62.84,26,28,4,TEST,Batting,Batting
LRPL Taylor (NZ),2007-2019,98,173,20,7130.0,290,46.6,19,33,14,TEST,Batting,Batting
GS Chappell (AUS),1970-1984,87,151,19,7110.0,247*,53.86,24,31,12,TEST,Batting,Batting
DA Warner (AUS),2011-2019,83,153,6,7088.0,335*,48.21,23,30,9,TEST,Batting,Batting
AJ Strauss (ENG),2004-2012,100,178,6,7037.0,177,40.91,21,27,15,TEST,Batting,Batting
DG Bradman (AUS),1928-1948,52,80,10,6996.0,334,99.94,29,13,7,TEST,Batting,Batting
ST Jayasuriya (SL),1991-2007,110,188,14,6973.0,340,40.07,14,31,15,TEST,Batting,Batting
L Hutton (ENG),1937-1955,79,138,15,6971.0,364,56.67,19,33,5,TEST,Batting,Batting
DB Vengsarkar (INDIA),1976-1992,116,185,22,6868.0,166,42.13,17,35,15,TEST,Batting,Batting
KF Barrington (ENG),1955-1968,82,131,15,6806.0,256,58.67,20,35,5,TEST,Batting,Batting
GP Thorpe (ENG),1993-2005,100,179,28,6744.0,200*,44.66,16,39,12,TEST,Batting,Batting
BB McCullum (NZ),2004-2016,101,176,9,6453.0,302,38.64,12,31,14,TEST,Batting,Batting
KS Williamson (NZ),2010-2019,78,137,13,6379.0,242*,51.44,21,31,9,TEST,Batting,Batting
PA de Silva (SL),1984-2002,93,159,11,6361.0,267,42.97,20,22,7,TEST,Batting,Batting
MEK Hussey (AUS),2005-2013,79,137,16,6235.0,195,51.52,19,29,12,TEST,Batting,Batting
RB Kanhai (WI),1957-1974,79,137,6,6227.0,256,47.53,15,28,7,TEST,Batting,Batting
M Azharuddin (INDIA),1984-2000,99,147,9,6215.0,199,45.03,22,21,5,TEST,Batting,Batting
HH Gibbs (SA),1996-2008,90,154,7,6167.0,228,41.95,14,26,11,TEST,Batting,Batting
RN Harvey (AUS),1948-1963,79,137,10,6149.0,205,48.41,21,24,7,TEST,Batting,Batting
GR Viswanath (INDIA),1969-1983,91,155,10,6080.0,222,41.93,14,35,10,TEST,Batting,Batting
RB Richardson (WI),1983-1995,86,146,12,5949.0,194,44.39,16,27,8,TEST,Batting,Batting
Azhar Ali (PAK),2010-2019,77,146,8,5885.0,302*,42.64,16,31,14,TEST,Batting,Batting
RR Sarwan (WI),2000-2011,87,154,8,5842.0,291,40.01,15,31,12,TEST,Batting,Batting
ME Trescothick (ENG),2000-2006,76,143,10,5825.0,219,43.79,14,29,12,TEST,Batting,Batting
DCS Compton (ENG),1937-1957,78,131,15,5807.0,278,50.06,17,28,10,TEST,Batting,Batting
Saleem Malik (PAK),1982-1999,103,154,22,5768.0,237,43.69,15,29,12,TEST,Batting,Batting
N Hussain (ENG),1990-2004,96,171,16,5764.0,207,37.18,14,33,14,TEST,Batting,Batting
CL Hooper (WI),1987-2002,102,173,15,5762.0,233,36.46,13,27,13,TEST,Batting,Batting
CA Pujara (INDIA),2010-2019,75,124,8,5740.0,206*,49.48,18,24,7,TEST,Batting,Batting
