Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
M Muralitharan (Asia/ICC/SL),1993-2011,350,341,18811,12326,534.0,7/30,23.08,3.93,35.2,15,10,ODI,Bowling,Bowling
Wasim Akram (PAK),1984-2003,356,351,18186,11812,502.0,5/15,23.52,3.89,36.2,17,6,ODI,Bowling,Bowling
Waqar Younis (PAK),1989-2003,262,258,12698,9919,416.0,7/36,23.84,4.68,30.5,14,13,ODI,Bowling,Bowling
WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,11014,400.0,8/19,27.53,4.18,39.4,9,4,ODI,Bowling,Bowling
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,13632,395.0,7/12,34.51,4.62,44.7,4,9,ODI,Bowling,Bowling
SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,9631,393.0,6/35,24.5,3.67,39.9,12,5,ODI,Bowling,Bowling
GD McGrath (AUS/ICC),1993-2007,250,248,12970,8391,381.0,7/15,22.02,3.88,34.0,9,7,ODI,Bowling,Bowling
B Lee (AUS),2000-2012,221,217,11185,8877,380.0,5/22,23.36,4.76,29.4,14,9,ODI,Bowling,Bowling
SL Malinga (SL),2004-2019,226,220,10936,9760,338.0,6/38,28.87,5.35,32.3,11,8,ODI,Bowling,Bowling
A Kumble (Asia/INDIA),1990-2007,271,265,14496,10412,337.0,6/12,30.89,4.3,43.0,8,2,ODI,Bowling,Bowling
ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,11871,323.0,6/29,36.75,4.78,46.0,8,4,ODI,Bowling,Bowling
J Srinath (INDIA),1991-2003,229,227,11935,8847,315.0,5/23,28.08,4.44,37.8,7,3,ODI,Bowling,Bowling
DL Vettori (ICC/NZ),1997-2015,295,277,14060,9674,305.0,5/7,31.71,4.12,46.0,8,2,ODI,Bowling,Bowling
SK Warne (AUS/ICC),1993-2005,194,191,10642,7541,293.0,5/33,25.73,4.25,36.3,12,1,ODI,Bowling,Bowling
AB Agarkar (INDIA),1998-2007,191,188,9484,8021,288.0,6/42,27.85,5.07,32.9,10,2,ODI,Bowling,Bowling
Saqlain Mushtaq (PAK),1995-2003,169,165,8770,6275,288.0,5/20,21.78,4.29,30.4,11,6,ODI,Bowling,Bowling
Z Khan (Asia/INDIA),2000-2012,200,197,10097,8301,282.0,5/42,29.43,4.93,35.8,7,1,ODI,Bowling,Bowling
JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,8680,273.0,5/30,31.79,4.84,39.3,2,2,ODI,Bowling,Bowling
